time_h,glucose_gL,biomass_gL,ethanol_gL,tyrosol_gL,mu_1h,qS_mmol_gDCW_h
49,67.879124383835,0.164309064859073,4.85525420178773,1.10173196216943,0.0436818781837755,13.1610098085318
49.25,67.7817287527388,0.166103396997989,4.90108061539624,1.1171848888136,0.0436818781837755,13.160871528983
49.5,67.6832705501067,0.167917324086383,4.9474069327322,1.1328064518583,0.0436818781837755,13.1607313392892
49.75,67.5837381979018,0.169751060110305,4.9942385994661,1.14859848998105,0.0436818781837755,13.1605892080422
50,67.4831199923286,0.171604821392631,5.04158112038056,1.16456286186167,0.0436818781837755,13.1604451031903
50.25,67.3814041024791,0.173478826618586,5.08944006000562,1.18070144639846,0.0436818781837755,13.1602989920215
50.5,67.2785785689644,0.175373296861541,5.13782104326071,1.19701614292677,0.0436818781837755,13.1601508411472
50.75,67.1746313025325,0.177288455609089,5.18672975610325,1.21350887143984,0.0436818781837755,13.1600006164841
51,67.0695500826713,0.179224528789415,5.236171946184,1.23018157281196,0.0436818781837755,13.1598482832364
51.25,66.9633225561969,0.181181744797946,5.28615342350923,1.24703620902401,0.0436818781837755,13.1596938058773
51.5,66.8559362358278,0.183160334524293,5.3366800611097,1.2640747633914,0.0436818781837755,13.1595371481294
51.75,66.7473784987434,0.185160531379491,5.38775779571664,1.28129924079438,0.0436818781837755,13.1593782729454
52,66.637636585128,0.187182571323531,5.43939262844466,1.29871166791083,0.0436818781837755,13.1592171424872
52.25,66.5266975966999,0.189226692893201,5.49159062548169,1.31631409345141,0.0436818781837755,13.1590537181052
52.5,66.4145484952248,0.191293137230221,5.54435791878611,1.33410858839733,0.0436818781837755,13.1588879603162
52.75,66.3011761010138,0.193382148109692,5.59770070679096,1.35209724624047,0.0436818781837755,13.158719828781
53,66.1865670914062,0.195493971968853,5.65162525511543,1.37028218322613,0.0436818781837755,13.1585492822813
53.25,66.0707079992363,0.197628857936154,5.70613789728366,1.3886655385983,0.0436818781837755,13.1583762786954
53.5,65.9535852112848,0.199787057860646,5.76124503545084,1.40724947484745,0.0436818781837755,13.1582007749737
53.75,65.8351849667135,0.201968826341687,5.81695314113679,1.42603617796101,0.0436818781837755,13.1580227271131
54,65.7154933554849,0.204174420758981,5.873268755967,1.44502785767641,0.0436818781837755,13.1578420901303
54.25,65.5944963167646,0.20640410130294,5.93019849242119,1.46422674773674,0.0436818781837755,13.1576588180347
54.5,65.4721796373082,0.208658131005377,5.9877490345895,1.48363510614918,0.0436818781837755,13.1574728637998
54.75,65.3485289498309,0.210936775770535,6.04592713893637,1.503255215446,0.0436818781837755,13.1572841793342
55,65.223529731361,0.213240304406457,6.10473963507206,1.52308938294839,0.0436818781837755,13.1570927154515
55.25,65.0971673015766,0.215568988656695,6.1641934265321,1.54313994103294,0.0436818781837755,13.1568984218386
55.5,64.969426821125,0.217923103232371,6.22429549156442,1.56340924740097,0.0436818781837755,13.1567012470236
55.75,64.8402932899252,0.220302925844577,6.28505288392457,1.58389968535058,0.0436818781837755,13.1565011383424
56,64.7097515454537,0.222708737237145,6.34647273367873,1.60461366405158,0.0436818781837755,13.1562980419038
56.25,64.577786261012,0.225140821219759,6.40856224801489,1.62555361882321,0.0436818781837755,13.1560919025538
56.5,64.4443819439777,0.227599464701438,6.47132871206206,1.64672201141476,0.0436818781837755,13.1558826638382
56.75,64.3095229340371,0.230084957724383,6.53477948971762,1.66812133028908,0.0436818781837755,13.1556702679646
57,64.1731934014006,0.232597593498192,6.59892202448287,1.689754090909,0.0436818781837755,13.1554546557619
57.25,64.0353773450002,0.235137668434449,6.66376384030689,1.71162283602667,0.0436818781837755,13.1552357666396
57.5,63.8960585906687,0.237705482181692,6.72931254243863,1.73373013597591,0.0436818781837755,13.1550135385448
57.75,63.7552207893012,0.240301337660761,6.79557581828747,1.75607858896753,0.0436818781837755,13.1547879079177
58,63.6128474149979,0.242925541100535,6.8625614382921,1.77867082138762,0.0436818781837755,13.1545588096458
58.25,63.4689217631888,0.245578402074055,6.93027725679797,1.80150948809901,0.0436818781837755,13.1543261770161
58.5,63.32342694874,0.248260233535047,6.99873121294319,1.82459727274559,0.0436818781837755,13.1540899416659
58.75,63.1763459040412,0.250971351854835,7.06793133155306,1.84793688805994,0.0436818781837755,13.1538500335313
59,63.0276613770742,0.25371207685967,7.13788572404322,1.87153107617392,0.0436818781837755,13.1536063807938
59.25,62.8773559294633,0.256482731868454,7.20860258933144,1.89538260893244,0.0436818781837755,13.1533589098257
59.5,62.7254119345059,0.259283643730884,7.28009021475814,1.91949428821039,0.0436818781837755,13.1531075451319
59.75,62.5718115751847,0.262115142866009,7.35235697701572,1.94386894623278,0.0436818781837755,13.1528522092911
60,62.41653684216,0.264977563301208,7.42541134308661,1.96850944589806,0.0436818781837755,13.1525928228936
60.25,62.2595695317434,0.267871242711597,7.49926187119021,1.99341868110462,0.0436818781837755,13.152329304477
60.5,62.100891243852,0.270796522459863,7.57391721173873,2.01859957708066,0.0436818781837755,13.1520615704598
60.75,61.9404833799425,0.273753747636533,7.64938610830189,2.04405509071722,0.0436818781837755,13.1517895350716
61,61.7783271409263,0.276743267100686,7.72567739858059,2.06978821090456,0.0436818781837755,13.1515131102812
61.25,61.6144035250653,0.279765433521104,7.80280001538955,2.09580195887184,0.0436818781837755,13.1512322057217
61.5,61.4486933258466,0.282820603417879,7.88076298764896,2.12209938853015,0.0436818781837755,13.1509467286121
61.75,61.2811771298391,0.28590913720447,7.95957544138515,2.14868358681887,0.0436818781837755,13.1506565836766
62,61.1118353145289,0.289031399230218,8.03924660074024,2.17555767405546,0.0436818781837755,13.15036167306
62.25,60.9406480461353,0.292187757823333,8.11978578899097,2.20272480428855,0.0436818781837755,13.1500618962393
62.5,60.7675952774068,0.295378585334341,8.20120242957647,2.23018816565455,0.0436818781837755,13.149757149933
62.75,60.5926567453972,0.298604258180008,8.28350604713515,2.25795098073761,0.0436818781837755,13.1494473280051
63,60.4158119692211,0.301865156887752,8.3667062685507,2.28601650693307,0.0436818781837755,13.1491323213658
63.25,60.2370402477896,0.305161666140526,8.4508128240071,2.31438803681436,0.0436818781837755,13.1488120178683
63.5,60.0563206575263,0.308494174822204,8.53583554805273,2.34306889850338,0.0436818781837755,13.1484863022007
63.75,59.8736320500623,0.311863076063451,8.62178438067351,2.37206245604433,0.0436818781837755,13.1481550557735
64,59.6889530499118,0.315268767288106,8.70866936837508,2.40137210978115,0.0436818781837755,13.1478181566021
64.25,59.5022620521271,0.318711650260063,8.79650066527396,2.43100129673832,0.0436818781837755,13.1474754791846
64.5,59.3135372199338,0.322192131130665,8.88528853419771,2.46095349100533,0.0436818781837755,13.1471268943739
64.75,59.1227564823459,0.325710620486621,8.97504334779398,2.49123220412459,0.0436818781837755,13.1467722692441
65,58.9298975317606,0.329267533398435,9.06577558964846,2.52184098548292,0.0436818781837755,13.1464114669517
65.25,58.7349378215336,0.332863289469381,9.15749585541161,2.55278342270656,0.0436818781837755,13.1460443465895
65.5,58.5378545635344,0.336498312884994,9.2502148539342,2.58406314205976,0.0436818781837755,13.1456707630348
65.75,58.3386247256815,0.340173032463116,9.34394340841147,2.61568380884687,0.0436818781837755,13.1452905667905
66,58.1372250294585,0.343887881704481,9.43869245753588,2.64764912781804,0.0436818781837755,13.1449036038188
66.25,57.9336319474106,0.347643298843854,9.5344730566584,2.67996284357843,0.0436818781837755,13.1445097153675
66.5,57.7278217006215,0.35143972690173,9.63129637895809,2.71262874100095,0.0436818781837755,13.1441087377878
66.75,57.5197702561712,0.355277613736595,9.72917371662001,2.74565064564256,0.0436818781837755,13.1437005023443
67,57.3094533245754,0.359157412097761,9.8281164820212,2.77903242416411,0.0436818781837755,13.1432848350154
67.25,57.0968463572055,0.363079579678775,9.92813620892463,2.8127779847536,0.0436818781837755,13.1428615562845
67.5,56.8819245436907,0.367044579171411,10.029244553681,2.84689127755307,0.0436818781837755,13.1424304809216
67.75,56.6646628093018,0.371052878320256,10.1314532964379,2.88137629508883,0.0436818781837755,13.1419914177533
68,56.4450358123171,0.375104949977887,10.234774342357,2.91623707270525,0.0436818781837755,13.1415441694231
68.25,56.2230179413709,0.379201272160653,10.3392197228376,2.95147768900189,0.0436818781837755,13.1410885321388
68.5,55.9985833127855,0.383342328105067,10.4448015967477,2.98710226627406,0.0436818781837755,13.1406242954076
68.75,55.7717057678856,0.38752860632481,10.5515322516616,3.02311497095675,0.0436818781837755,13.140151241759
69,55.5423588702975,0.391760600668362,10.6594241051039,3.05952001407181,0.0436818781837755,13.1396691464522
69.25,55.3105159032322,0.396038810377261,10.7684897057994,3.0963216516785,0.0436818781837755,13.13917777717
